District,District Code,No,Yes,Total
Regional School District 06,2060012,750,169,919
Regional School District 07,2070012,919,163,1082
Regional School District 08,2080012,1301,207,1508
Regional School District 09,2090012,803,106,909
Regional School District 10,2100012,2074,274,2348
Regional School District 11,2110012,186,49,235
Regional School District 12,2120012,595,97,692
Regional School District 13,2130012,1405,270,1675
Regional School District 14,2140012,1453,263,1716
Regional School District 15,2150012,3019,612,3631
Regional School District 16,2160012,1896,301,2197
Regional School District 17,2170012,1701,365,2066
Regional School District 18,2180012,1113,165,1278
Regional School District 19,2190012,1025,183,1208
Ridgefield School District,1180011,4359,570,4929
Rocky Hill School District,1190011,2414,295,2709
Salem School District,1210011,336,65,401
Salisbury School District,1220011,272,26,298
Scotland School District,1230011,101,18,119
Seymour School District,1240011,1870,306,2176
Sharon School District,1250011,114,25,139
Shelton School District,1260011,4036,684,4720
Sherman School District,1270011,261,41,302
Side By Side Charter School District,2700013,213,22,235
Simsbury School District,1280011,3519,579,4098
Somers School District,1290011,1236,203,1439
South Windsor School District,1320011,3669,590,4259
Southington School District,1310011,5584,916,6500
Sprague School District,1330011,282,57,339
Stafford School District,1340011,1315,212,1527
Stamford Academy District,2820013,105,54,159
Stamford Charter School for Excellence District,2960013,262,11,273
Stamford School District,1350011,13864,2067,15931
Sterling School District,1360011,335,52,387
Stonington School District,1370011,1784,313,2097
Stratford School District,1380011,5921,919,6840
Suffield School District,1390011,1917,301,2218
The Bridge Academy District,2690013,224,55,279
The Gilbert School District,9020022,476,85,561
The Woodstock Academy District,9030022,1009,78,1087
Thomaston School District,1400011,736,141,877
Thompson School District,1410011,883,137,1020
Tolland School District,1420011,2155,312,2467
Torrington School District,1430011,3279,829,4108
Trailblazers Academy District,2780013,83,36,119
Trumbull School District,1440011,5944,796,6740
Unified School District #1,3360015,39,140,179
Unified School District #2,3470015,28,129,157
Union School District,1450011,44,*,*
Vernon School District,1460011,2617,491,3108
Voluntown School District,1470011,231,51,282
Wallingford School District,1480011,5032,831,5863
Waterbury School District,1510011,15487,3520,19007
Waterford School District,1520011,2146,389,2535
Watertown School District,1530011,2404,381,2785
West Hartford School District,1550011,8492,1246,9738
West Haven School District,1560011,4854,1007,5861
Westbrook School District,1540011,619,112,731
Weston School District,1570011,2117,226,2343
Westport School District,1580011,4948,650,5598
Wethersfield School District,1590011,3091,518,3609
Willington School District,1600011,367,73,440
Wilton School District,1610011,3482,568,4050
Winchester School District,1620011,427,127,554
Windham School District,1630011,2707,642,3349
Windsor Locks School District,1650011,1318,235,1553
Windsor School District,1640011,2684,590,3274
Wolcott School District,1660011,1993,270,2263
Woodbridge School District,1670011,742,94,836
Woodstock School District,1690011,755,102,857
Total,,455769,79256,535025
